"id_reporte","id_servicio","id_tipo_servicio","reporte","calle","numero","id_colonia","codigo_postal","latitud","longitud","prioridad","status","creado"
"41242","7","32","ciudadano solicita la limpieza general de parque, ubicado en calle villa cordoba y villa mayorca, en el fracc. villas del rio.","villa mayorca","2684",NULL,"80050","24.8045132","-107.43977889999996","NORMAL","ASIGNADO","2017-01-02 11:11:30"
"41243","8","36","se reporta un domicilio quienes tiene un gallinero ocasionando un mal olor insoportable, foco de infección e inconformidad en todos los vecinos,  el dueño se llama  margarito, por la calle tigre entre las calles abedules  y oso, col. renato vega amador","tigre",,NULL,,"24.7835073","-107.34818389999998","NORMAL","ASIGNADO","2017-01-02 11:49:46"
"41244","1","2","ciudadano reporta 1 lampara apagada por la calle agustín verdugo num 1200 entre malecón nuevo y doctor romero col chapultepec","agustin verdugo","1200",NULL,,"24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-02 11:50:54"
"41245","1","2","ciudadana reporta una lampara que prende y apaga por la calle leon entre las calles oso y abedules, col. renato vega amador","leon","4399",NULL,"80194","24.7829821","-107.3479767","NORMAL","ASIGNADO","2017-01-02 12:01:32"
"41246","1","2","ciudadana reporta 1 lampara apagada por la calle de moradillo num 2891(calle cerrada donde topa la calle) fracc los sauces","moradillo","2891",NULL,,"24.8293566","-107.4200892","NORMAL","ASIGNADO","2017-01-02 12:02:39"
"41247","1","2","ciudadana reporta ocho lamparas y dos reflectores apagadas empotradas en edificios, ubicadas dos en edifico #1273 y dos en el #1245 de sierra del carmen entre cerro, dos en edicio no.1251 y una en el #1216 y otra que prende y apaga en el #1199 en andador sierra agua blanca, una lampara en eficicio #1221 y uno reflector en edificio #1215 y otro en area de juegos en andador sierra maestra todos entre cerro del elefante y cerro de la luz, en la col. inf. cañadas.","andador sierra maestra","1231-A",NULL,"80179","24.7824816","-107.40346699999998","NORMAL","ASIGNADO","2017-01-02 12:05:25"
"41248","1","2","ciudadano reporta lamparas apagadas en las canchas de front tenis, del paque 87, por la calle mexico  68 y av. alvaro obregon, col. republicana mexicana","mexico  68",,NULL,,"24.7794988","-107.3878899","NORMAL","ASIGNADO","2017-01-02 12:11:59"
"41249","1","2","ciudadano reporta lamparas apagadas  y cables sueltos en la unidad deportiva,  ubicada por el blvd. salvador alvarado y priv. herores de nacozari, col. inf. lhumaya","blvd. salvador alvarado",,NULL,"90020","24.8325241","-107.4164237","NORMAL","ASIGNADO","2017-01-02 12:22:24"
"41250","8","36","se reporta al sr. jorge luis mendoza acosta, ya que constantemente rompe a pedradas lampara de alumbrado publico, ocasionando molestia e inconformidad en vecinos por gran problema de vandalismo, ubicado en calle leon casi esq. con abedules, en la col. renato vega amador.","leon",,NULL,"80280","24.7830377","-107.34783010000001","NORMAL","ASIGNADO","2017-01-02 12:25:27"
"41251","7","32","ciudadano solicita la limpieza general de parque ubicado en en blvd. salvador alvarado y priv. heroes de nacozari, en la col. inf. humaya.","blvd. salvador alvarado","3098-A",NULL,"80020","24.8315705","-107.4169129","NORMAL","ASIGNADO","2017-01-02 12:32:00"
"41252","7","32","ciudadano solicita la limpieza general de parque (maleza muy alta), ubicado en calle girasol entre diaz ordaz y 15 de septiembre, en la col. 10 de mayo.","girasol","65",NULL,"80270","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-02 12:46:40"
"41253","1","2","ciudadana reporta una lampara apagada por la calle sinaloa entre la av. pimas y opatas, col. miguel de la madrid.","sinaloa","2553",NULL,"80200","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-02 13:04:11"
"41254","9","39","se reportan  cuatro carros estacionados desde hace 11 meses, lo cual esta ocasionando un acumulamiento de basura e inconformidad en todos los vecinos, son dos taxis, color balncos , un carro  verde  y una camioneta beige, estacionados en la calle cerrada tierra a un costado de la prepa cetis, entre las calles cerrada luna y y jose c. valadez, col. inf. humaya.","cerrada tierra",,NULL,"80020","24.8212049","-107.41386260000002","NORMAL","ASIGNADO","2017-01-02 13:31:12"
"41255","1","2","ciudadana reporta 3 lamparas apagadas por la calle rio Ural entre av del rio y rio cena frac los lirios","rio ural","5578",NULL,,"24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-02 13:33:37"
"41256","7","32","ciudadana solicita la limpieza general de parque, ubicado en calle del pedregal esq. cantera, en el fracc. lomas del pedregal.","av. del marmol","3398",NULL,"80016","24.8391381","-107.38577959999998","NORMAL","ASIGNADO","2017-01-02 13:33:56"
"41257","1","2","ciudadano reporta 2 relectores de 400 wats que se encuentran apagados por la calle rio don y rio rodano col los lirios","av delrio","115",NULL,,"24.8584387","-107.3974488","NORMAL","ASIGNADO","2017-01-02 14:04:02"
"41258","3","14","ciudadano solicita la reparacion de bache muy grande aprox. 7 mts. ancho y 30 cms. de profundo (asfalto), ubicado en av. del rio esq. con rio don, en el fracc. lirios del rio.","av. del rio","115",NULL,"80018","24.8584387","-107.3974488","NORMAL","ASIGNADO","2017-01-02 14:10:27"
"41259","1","2","ciudadano reporta cinco lamparas apagadas ( hay corto), ubicadas tres en calle villa asturias y villa licantes y dos en area de parquesito, en el fracc. villas del rio.","villa alicante","2357",NULL,"80050","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-02 14:49:57"
"41260","3","12","ciudadana solicita el restreo, nivelacion y se requiere de relleno de dos calles en muy mal estado, ubicado en calle aguila desde la calle sauces hasta la abedules y la calle naranjos desde la agricultores hasta la sauces, en la col. renato vega amador.","aguila","4264",NULL,"80280","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-03 09:30:03"
"41261","8","38","se reporta ganado vago (vacas) en el sector de la calle paseo del rey, reyna victoria, reyna beatriz, donde esta ferrox, frente, fracc. villas del real.","paseo del rey",,NULL,,"24.7970773","-107.3478414","NORMAL","ASIGNADO","2017-01-03 09:32:54"
"41262","6","31","se reporta casa abandonada con demasiada maleza, basura y plaga de animales obstruyendo tambien el paso peatonal en banqueta, ubicada en calle pensamiento entre las calles salvia y tusilago, en el fracc. florida.","pensamiento",,NULL,"80246","24.7730565","-107.45315679999999","NORMAL","ASIGNADO","2017-01-03 09:39:49"
"41263","1","2","ciudadana reporta dos lamparas apagadas por la calle lerdo de tejada entre las calles rio aguanabal y  juan de dios batiz, col. morelos.","lerdo de tejada","1780",NULL,"80170","24.7877062","-107.4093732","NORMAL","ASIGNADO","2017-01-03 10:03:43"
"41264","1","2","ciudadano reporta dos lamparas apagadas, ubicadas en calle manantial de la esperanza entre manantial de tehuacan y manantial de topochico, en el fracc. villas del manantial.","manantial de la esperanza","4372",NULL,"80143","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-03 11:14:05"
"41265","3","12","ciudadana solicita el rastreo de la calle, venus  entre las calles estrella y nova, col. ruben jaramillo","venus","2135",NULL,"80015","24.8334263","-107.3761778","NORMAL","ASIGNADO","2017-01-03 11:17:02"
"41266","1","2","ciudadana reporta una lampara apagada (se solto cable de mufa con corto constante mucha chispa), ubicada afuera del no.2320 de la calle manuel barraza esq. av. sinaloa, en la col. agrarista mexicana.","manuel barraza","2320",NULL,"80014","24.8311168","-107.3719494","URGENTE","ASIGNADO","2017-01-03 11:23:34"
"41267","1","2","ciudadanao reporta cuatro lamparas apagadas, ubicadas en calle nueva españa entre las calles de los tules y nuño beltran de guzman, en el fracc. bonaterra.","nueva españa","4748",NULL,"80058","24.8221058","-107.4425273","NORMAL","ASIGNADO","2017-01-03 11:29:31"
"41268","6","31","se reprota una casa abandonada desde hace mucho tiempo el cual esta ocasionando muchos problemas de basura y animales, tambien es un nido de malvivientes e inconformidad en todos los vecinos, por la calle venus esquina con la calle esstrella, col. ruben jaramillo.","venus",,NULL,"80015","24.8336317","-107.37391839999998","NORMAL","ASIGNADO","2017-01-03 11:29:57"
"41269","1","2","ciudadana solicita la reistalación de una lampara que se cayo con el viento, por el callejon sin nombre  entre las calles fray bernarado de valbuena y agricultores,  a espaldas de este num. 4047, fracc. rincón feliz","borrajas","4047",NULL,,"24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-03 12:03:02"
"41270","3","14","ciudadano solicita la reparacion de una calle que nunca terminaron y le falta pavimento (aproximadamente 3 metros de largo) asi tambien una abertura por despegue de pavimento de aproximadamente 15 cm de ancho y 5 metros de largo aproximadamente, esto con domicilio por el blvd santa fe, esquina con obrero mundial (entre la gasolinera y farmacia guadalajara) frac santa fe","san carlos","4013",NULL,,"24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-03 12:14:11"
"41271","1","2","ciudadana reporta una lampara apagada por la calle san javier esquina con el colegio civil rosales, frac. country del rio","san javier","2915",NULL,,"24.8020559","-107.44729080000002","NORMAL","ASIGNADO","2017-01-03 12:20:32"
"41272","1","2","ciudadano reporta una lampara apagada, ubicada en calle alfonso cravioto entre cruz medina y ernesto damy, en la col. pemex.","alfonso cravioto","3390",NULL,"80180","24.7696786","-107.42786920000003","NORMAL","ASIGNADO","2017-01-03 12:21:35"
"41273","3","12","ciudadano solicita el rastreo de la calle cuarta entre el blvd. maquio clouthier y cerro otates, ya que se encuentra intransitable, col. ampliacion buenos aires.","cuarta","1132",NULL,"80199","24.7992161","-107.37202639999998","NORMAL","ASIGNADO","2017-01-03 12:41:50"
"41274","1","2","ciudadana reporta una lampara apagada, ubicada en calle velina leon de medina entre las calles pedro maria anaya y guadalupe rojo, en la col. lombardo toledano.","guadalupe rojo","3237",NULL,"80010","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-03 12:43:44"
"41275","1","2","ciudadano reporta una lampara que prende un dia bien y una semana permanece apagada, por la calle cuarta entre el blvd. maquio clouthier y la calle cerro otates, col. ampliación buenos aires.","cuarta","1132",NULL,"80199","24.7992161","-107.37202639999998","NORMAL","ASIGNADO","2017-01-03 12:48:40"
"41276","8","36","se reporta un negocio de lavado de nombre el chapuzon, quienes tiene fuga de drenaje y esta corriendo hacia la calle, ocasionando un mal olor insoportable e inconformidad en todos los vecinos, por el blvd. las torres casi esquina con la av. alvaro obregon, col. renato vega alvarado","blvd. de la torres",,NULL,"80199","24.7749591","-107.45628420000003","NORMAL","ASIGNADO","2017-01-03 13:02:44"
"41277","1","2","ciudadano reporta  tres lamparas apagadas por la av. 20 de noviembre entre las calles  farancisco mujica y froylan cruz manjarrez, col. libertad.","av. 20 de noviembre",,NULL,"80180","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-03 13:39:02"
"41278","1","2","ciudadano reporta un sector apagado por el and. francisco l. urquizo entre las calles benjamin hill y enrique gonzalez, col. inf. barrancos dos.","and. francisco l. urquizo","4399",NULL,"80184","24.7500834","-107.42726479999999","NORMAL","ASIGNADO","2017-01-03 14:01:10"
"41279","1","2","ciudadana reporta ocho lamparas cuatro apagadas y cuatro que prenden y apagan, ubicadas en domicilio conocido comunidad los limones, sind. de jesus maria.    nota: se hace mencion de lamparas en los los postes no.15, 16 y 17 que en otras ocasiones han quedado pendientes por ser calle muy estrecha.","dom. conocido comunidad los limones","P-15",NULL,"80310","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-03 14:06:20"
"41280","1","2","ciudadano reporta una lampara apagada por la calle mina de copala esquina con la av. ruiz coartinez, col. antonio toledo corro","mina de copala",,NULL,"80296","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-04 08:35:56"
"41281","1","2","ciudadana reporta seis lamparas:  dos apagadas  y una que prende y apaga dos por la calle luis manuel rojas entre las calles, luis  g. monzon y rafael martinez, y la otra por la calle froylan cruz manjarrez entre las calles alfonso  gravioto y rafael martinez, y una que enciende y apaga en calle 8 entre Alfonso Gravioto y Rafael Martinez Escobar,  una mas en calle Luis M. Rojas esquina con Antonio Ancona y AntonioAncona entre calle 8 y Luis M. Rojas.  Col. libertad","luis manuel rojas",,NULL,"80190","24.7639945","-107.402849","NORMAL","ASIGNADO","2017-01-04 09:05:56"
"41282","1","2","ciudadana reporta una lampara apagada afuera del no.1580,  ubicada en calle tierra y libertad entre las calles manuel estrada y atanacio aragon, en la col. emiliano zapata.","tierra y libertad","1580",NULL,"80260","24.7897145","-107.37080220000001","NORMAL","ASIGNADO","2017-01-04 09:25:33"
"41283","3","14","ciudadana reporta varios baches por la calle hortencia cabada  entre las calles cantera y eclipce, calle estrella, carlota fernandez, entre las mismas calles, fracc. lomas del sol.","hortencia cabada","840",NULL,"80016","24.8429363","-107.38621469999998","NORMAL","ASIGNADO","2017-01-04 09:34:26"
"41284","1","2","ciudadana reporta 2 lamparas apagadas 1 por la calle lucernilla 1708 esquina con lazarao cardenaz y otra por lacalle pascual orozco esquina con lazaro cardenaz col.  nuevo culiacan","lucernilla","1702",NULL,,"24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-04 09:35:08"
"41285","6","30","ciudadana solicita la limpieza y la busqueda de dueño de lote baldio ubicado por av mexico 68 entre cerro colorado y cerro salado (enseguida del num 120) col buenos aires","lucernilla","1702",NULL,,"24.7846146","-107.4101086","NORMAL","ASIGNADO","2017-01-04 09:44:15"
"41286","7","32","ciudadana solicita limpieza del parque, ubicado por la calle san gabriel entre las calles lechuguilla y san miguel, fracc. san benito","san gabriel","3701",NULL,"80290","24.774227","-107.35624660000002","NORMAL","ASIGNADO","2017-01-04 09:50:03"
"41287","1","2","ciudadana repeorta una lampara apagada por la calle lechuguilla entre las calles san gabriel y el callejon frente al parque fracc. san benito","lechuguilla","3701",NULL,"80290","24.7735626","-107.35653990000003","NORMAL","ASIGNADO","2017-01-04 09:53:22"
"41288","1","2","ciudadana reporta cinco lamparas apagadas, ubicadas un en calle villa antigua casi esq. con arco visantino, una mas en arco visantino esq. con villa antigua y otra arco visantino y calle cerrada rumbo a la priv. y una doble en area de parque, en el fracc. los portales","arco visantino","3638",NULL,"80180","24.7672553","-107.43593069999997","NORMAL","ASIGNADO","2017-01-04 09:58:42"
"41289","7","32","ciudadana solicita la limpieza general de camellon, ubicado en blvd. salvador alvaro entre alejandro peña y blvd. enrique felix castro, en la col. inf. humaya.","blvd. salvador alvarado","3403",NULL,"80020","24.8252217","-107.42021349999999","NORMAL","ASIGNADO","2017-01-04 10:05:27"
"41290","1","2","ciudadana reporta tres lamparas dos que prenden y apagan y una apagada frente al no.4244, ubicadas en calle pablo moreno entre las calle tierra y libertad y plan de tuxtepec, en la col. amistad.","pablo moreno","4244",NULL,"80249","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-04 10:59:01"
"41291","1","2","se reporta una lampara que prende y apaga, ubicada por la calle bahia de agiabampo esquina con la calle ometepec,  donde esta el parque, col. nuevo culliacan.","bahia de agiabampo","951",NULL,,"24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-04 11:01:45"
"41292","1","2","ciudadano reporta una lampara apagada afuera del no.1184, ubicada en calle segunda entre las calles tercera y cuarta en la col. libertad.","segunda","1184",NULL,"80180","24.8240384","-107.38977339999997","NORMAL","ASIGNADO","2017-01-04 11:12:44"
"41293","8","36","se reportan vecinos de un  edificio de departamento quienes ponen la basura en un lugar donde no es el apropiado, en la via publica, ocasionando un tiradero y mal olor insoportable  e inconformidad en todos los demas vecinos, y tambien los de la panaderia, y del restaurante, ubicados por la calle juan de la barrera, entre las calles carlos filio y tamarindo, donde esta el parque, col. ignacio allende.","juan de la barrera",,NULL,"80010","24.8273903","-107.39175039999998","NORMAL","ASIGNADO","2017-01-04 11:14:15"
"41294","8","36","se reporta a persona ya que tiene cria de puercos derramando liquidos mal olientes a dañando a viviendas, ocasionando encharcamientos, mucha mosca, preocupacion e inconformidad en vecinos por ser esto gran foco de infeccion, ubicado en poste no.7302 de la calle ignacio allende entre las calles primera y segunda, en la col. loma de rodriguera.","ignacio allende","P-7302",NULL,"80019","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-04 11:41:07"
"41295","1","2","ciudadana reporta dos lamparas apagadas, ubicadas en calle de los crisantemos entre las calles alcatraces y begoñas, en el fracc. colinas del bosque.","crisantemos","1811",NULL,"80190","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-04 12:14:32"
"41296","1","2","ciudadana reporta seis lamparas apagadas, ubicadas en calle ajenjo entre las calles paseo del roble y arandanos, en el fracc. urbi villas del cedro.","ajenjo","5390",NULL,"80059","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-04 12:24:29"
"41297","1","2","ciudadano reporta dos lamparas apagadas en cancha de basquetbol, ubicada en blvd. benjamin hill entre andador maria grever y jose maria velasco, en la col. inf. barrancos iii.","andador jose maria velasco","4423",NULL,"80184","24.7489687","-107.4248255","NORMAL","ASIGNADO","2017-01-04 12:30:00"
"41298","1","2","ciudadana reporta una lampara apagada por la calle jaras entre las calles aloe y orquidia, fracc. laureles pinos.","jaras","3962",NULL,"80246","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-04 12:33:15"
"41299","8","36","se reporta a persona que se instalo en areas verdes con venta de tacos de nombre taqueria los algodones, ocasionando molestia en transeuntes y vecinos por dañar mencionanda area, ubicado en blvd. benjamin hill entre andador maria grever y andador jose maria velasco, en la col. inf. barrancos.","blvd. benjamin hill.",,NULL,"80184","24.7593746","-107.42976290000001","NORMAL","ASIGNADO","2017-01-04 12:38:55"
"41300","1","2","ciudadana reporta 1 lampara apagada por blv norma corona o nevado de toluca entre bahia de ajiabampo y estero mazatlan col pradaera dorada","bahia de ajiabampo","1565",NULL,,"24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-04 12:42:19"
"41301","1","2","se reporta un  ginnacio de  nombre satadium , quienes ponen musica desde las 6 de ma mañana  hasta las diez de la noche, a muy alto volumen,  ocasionando inconformidad en todos los vecinos, y piden se pnga a un ñvolumen considerado ya que hay personas enfermas de tercera edad y niños recien nacidos, ubicados por la calle rafasel buelna # 874, entre las calles venuestiano carranza y vicente guerrero, col. centro.","rafael buelna","874 ote.",NULL,"80000","24.8155931","-107.36325740000001","NORMAL","ASIGNADO","2017-01-04 12:54:52"
"41302","1","2","ciudadana reprota una lampara apagada y hacaer coarto, por la calle reynaldo perez ortega esquina con el callejon lozeta, poste ]# 128, col los mezcales","reynaldo perez ortega","350",NULL,"80019","24.8574608","-107.39593880000001","NORMAL","ASIGNADO","2017-01-04 13:08:12"
"41303","1","2","ciudadana reporta 2 lamparas apagadas 1  por el andador luis espota esquina con enrrique gonzales y 1 mas por luis espota entre benjamin gil y enrrique gonzales (cancha de basquet bool) col infonavit barrancos 2","andador luis espota","4347",NULL,,"24.7510477","-107.42781209999998","NORMAL","ASIGNADO","2017-01-04 13:40:11"
"41304","1","2","ciudadana reporta una lampara apagada, ubicada en blvd. lucernilla entre bravo y calle cerrada a terrenenos tec. culiacan, en la col. balcones del nuevo culiacan.","blvd. lucernilla","803",NULL,"80170","24.7841227","-107.4006579","NORMAL","ASIGNADO","2017-01-04 13:43:34"
"41305","1","2","ciudadana reporta sector apagado, ubicado en calle bambu entre blvd. elvert y blvd. amapa, en el fracc. urbi villa del prado.","bambu","3548-C",NULL,"80059","24.8330387","-107.39144199999998","NORMAL","ASIGNADO","2017-01-04 13:48:38"
"41306","1","2","ciudadana solicita la instalación de 1 lampara en poste de la comicion de electricidad por la calle enrique gonzales esquina con luis espota col infonavit barrancos 2","andador luis espota","4347",NULL,,"24.7510477","-107.42781209999998","NORMAL","ASIGNADO","2017-01-04 13:49:24"
"41307","3","19","ciudadano solicita el retiro del material de arrastre que dejan las lluvias y el personal del h. ayuntamiento la dejo y esta ocasionando accidentes, por la calle geraneos, esquina con la calle 21 de marzo","geeranios","148",NULL,"80270","24.7809746","-107.3810636","NORMAL","ASIGNADO","2017-01-04 13:51:30"
"41308","1","2","dos lamparas una apagada y otra prende y apaga","blvd. constelaciones entre calle amatista y tezotonthle","s/n",NULL,,"24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-04 13:52:50"
"41309","1","2","ciudadana reporta una lampara una lampara apagada por la calle opalo entr el blvd. enrique cabrera y el blvd. diamante, col. stase.","opalo","1507",NULL,"80026","24.8302963","-107.40992979999999","NORMAL","ASIGNADO","2017-01-04 13:56:06"
"41310","1","2","ciudadano reporta tres lamparas apagadas en los postes no.20, 21 y linea nueva la segunda de la entrada, ubicado en dom. conocido la pitayita, alcaldia central.","dom. conocido la pitayita","P-10",NULL,"80416","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-04 13:59:16"
"41311","1","2","ciudadano reporta  una lampara apagada por la calle cacao entre las av. del laurel y ajenjo. fracc. urbivilla del cedro.","cacao","3289",NULL,"80058","24.7603227","-107.45398690000002","NORMAL","ASIGNADO","2017-01-04 14:01:34"
"41312","1","2","ciudadana reporta una ñlampara apagada spor la calle puerto huatabampo entre las calles puerto altata y olmecas, col. vallado nuevo.","puerto huatabampo","2340",NULL,"80110","24.7895401","-107.4209639","NORMAL","ASIGNADO","2017-01-04 14:06:26"
"41313","6","30","se reporta un lote baldio lleno de basura y maleza afectando a los vecinos, y mas que esta enseguida del kinder,  y la primaria, este es propiedad del h. ayuntamiento, ubicado por la calle paseo del roble, y paseo del laurel, en el fracc. urbivilla del prado.","paseo del roble",,NULL,,"24.8246214","-107.45551899999998","NORMAL","ASIGNADO","2017-01-04 14:44:27"
"41314","8","36","se reporta a la sra. marcela alarcon quien tira agua de la lavadora directamente a la calle, ocasionando el deterioro de la misma y ocasionando la molestia de los vecinos por presencia de moscos encharcamientos etc, dicha persona tiene su domicilio por la calle mauricio magdaleno 2976 entre blv hilario medina y alfonso cabrera frac antonio nacayama",,,NULL,,"24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-05 09:06:51"
"41315","1","2","ciudadano reporta 1 lampara apagada por la calle A robles esquina con carlos l gracidas num poste 25272 col felipe angeles","manuel gurtierrez","2904",NULL,,"24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-05 09:53:15"
"41316","1","2","ciudadano reporta 1 lampara apagada por el blvd sanvador alvarado frente al num 2551 y guatemala col istesssin","republica de brasil","2404",NULL,,"24.8236809","-107.40933110000003","NORMAL","ASIGNADO","2017-01-05 10:04:16"
"41317","8","36","se reporta un domicilio quienes hicieron  unos baños  afectando a vecinos ya que las aguas negras (escremento) saliendo   a la via publica, ocasionara un foco de infección  mal olor insoportable e inconformidad en todos los vecinos, por la calle principal, donde esta el poste # 16  es la calle de la iglesia es un club de renta,  el salado.","calle principal","poste 216",NULL,,"24.7997492","-107.3523118","NORMAL","ASIGNADO","2017-01-05 10:08:52"
"41318","1","2","ciudadana reporta sector apagado ubicado en blvd. hermes a la altura de parque canaco, en el fracc. canaco.","blvd. hermes","420",NULL,"80059","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-05 10:14:20"
"41319","7","32","ciudadana solicita la limpieza de parque ubicado por blvd constelaciones y blv diamante col agustina ramirez","blv diamante","2480",NULL,,"24.8301","-107.41753900000003","NORMAL","ASIGNADO","2017-01-05 10:17:17"
"41320","7","44","ciudadana solicita la limpieza de camellon ubicado por el blvd diamante y salvador alvarado col stase 2","blvd diamante","2480",NULL,,"24.8301","-107.41753900000003","NORMAL","ASIGNADO","2017-01-05 10:20:39"
"41321","3","15","ciudadano solicita rastreo limpieza y nivelacion de calle hubicada por patriotismo entre juan m mendez y tulipan col republica mexicana","patriotismo","946",NULL,,"24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-05 10:33:52"
"41322","1","2","ciudadana reporta una lampara apagada (checar cableado se apaga constantemente) afuera del no.3247, ubicada en calle aube entre las calles parcasa y paseo del laurel, en el fracc. urbi villas del cedro.","aube","3247",NULL,"80058","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-05 10:43:15"
"41323","8","37","se reporta un negocio de comidas y la dueña se llama irma fabiola angulo, quienes tiene el giro de comidas, y ella esta vendiendo dulces, cigarro y ropa, lo cual esta afectando a negocios establecidos que venden esos productos y están a su alrededor, e inconformidad en los mismos, por la calle francisco zarco local num. 16, entre las calles andrade y aldama, col. miguel","andrade",,NULL,"80200","24.8023339","-107.39150189999998","NORMAL","ASIGNADO","2017-01-05 10:48:01"
